Gene	is_OG	is_TS
SRC	1	0
SS18	1	0
SSX1	1	0
SSX2; SSX2B	1	0
ST20	0	1
STARD13	0	1
STIL	1	0
STK11	0	1
STYK1	1	0
SUFU	0	1
SUSD2	0	1
SUSD6	0	1
SUZ12	1	0
SYNPO2	0	1
TAF15	1	0
TAL1	1	0
TAL2	1	0
TBC1D3	1	0
TBRG1	0	1
TCF3	1	0
TCHP	0	1
TCL1A	1	0
TCL1B	1	0
TCP10L	0	1
TCTA	1	0
TET2	0	1
TFE3	1	0
TFG	1	0
TFPT	1	0
TLX1	1	0
TMEM127	0	1
TNFRSF17	1	0
TOP1	1	0
TP53	0	1
TP53INP1	0	1
TP73	0	1
TPM3	1	0
TPR	1	0
TRIM24	0	1
TRIM27	1	0
TRIM37	1	0
TSC1	0	1
TSC2	0	1
TUSC2	0	1
TXNIP	0	1
UFL1	0	1
USP4	1	0
USP6	1	0
VAV1	1	0
VHL	0	1
VWA5A	0	1
WDR11	1	0
WISP1	1	0
WNT1	1	0
WNT3	1	0
WT1	0	1
WWOX	0	1
WWTR1	1	0
XAF1	0	1
XRN1	0	1
YAP1	1	0
YES1	1	0
ZBTB16	1	0
ZBTB7C	0	1
ZDHHC17	0	1
ZFYVE19	1	0
ZMYND11	0	1
ZNF320	1	0
ZNF521	1	0
